Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2018-01-29 14:50:06.800 +0530,"Success",0:00:00,0,0,0,"20180129_145006.800/LogFile.txt","","",1
2018-01-29 14:56:24.171 +0530,"Success",0:00:01,0,0,0,"20180129_145624.171/LogFile.txt","","",1
2018-01-29 15:05:22.991 +0530,"Failure",0:00:00,1,0,0,"20180129_150522.991/LogFile.txt","","SenseTalk Runtime Exception -- Invalid operands for addition: expected numbers, dates and/or lists; got '(-20,100)' and 'AP'",0
2018-01-29 15:05:59.858 +0530,"Failure",0:00:00,1,0,0,"20180129_150559.858/LogFile.txt","","SenseTalk Runtime Exception -- Invalid operands for addition: expected numbers, dates and/or lists; got '(-20,100)' and 'AP'",0
2018-01-29 15:06:20.091 +0530,"Failure",0:00:00,1,0,0,"20180129_150620.091/LogFile.txt","","STUnknownMessage -- ERROR: 'readtext' was called as a Command, but is only available as a Function",0
2018-01-29 15:06:32.541 +0530,"Success",0:00:00,0,0,0,"20180129_150632.541/LogFile.txt","","",1
2018-01-29 15:07:01.568 +0530,"Success",0:00:00,0,0,0,"20180129_150701.568/LogFile.txt","","",1
2018-01-29 15:07:10.199 +0530,"Success",0:00:00,0,0,0,"20180129_150710.199/LogFile.txt","","",1
2018-01-29 15:07:34.436 +0530,"Success",0:00:01,0,0,0,"20180129_150734.436/LogFile.txt","","",1
2018-01-29 15:07:39.935 +0530,"Success",0:00:00,0,0,0,"20180129_150739.935/LogFile.txt","","",1
2018-01-29 15:07:50.550 +0530,"Success",0:00:00,0,0,0,"20180129_150750.550/LogFile.txt","","",1
2018-01-29 15:08:09.673 +0530,"Success",0:00:00,0,0,0,"20180129_150809.673/LogFile.txt","","",1
2018-01-29 15:08:14.261 +0530,"Success",0:00:00,0,0,0,"20180129_150814.261/LogFile.txt","","",1
2018-01-29 15:08:49.227 +0530,"Success",0:00:00,0,0,0,"20180129_150849.227/LogFile.txt","","",1
2018-01-29 15:08:57.245 +0530,"Success",0:00:00,0,0,0,"20180129_150857.245/LogFile.txt","","",1
2018-01-29 15:09:11.549 +0530,"Success",0:00:00,0,0,0,"20180129_150911.549/LogFile.txt","","",1
2018-01-29 15:09:20.301 +0530,"Success",0:00:00,0,0,0,"20180129_150920.301/LogFile.txt","","",1
2018-01-29 15:10:09.747 +0530,"Success",0:00:00,0,0,0,"20180129_151009.747/LogFile.txt","","",1
2018-01-29 15:10:30.623 +0530,"Success",0:00:00,0,0,0,"20180129_151030.623/LogFile.txt","","",1
2018-01-29 15:10:38.893 +0530,"Success",0:00:00,0,0,0,"20180129_151038.893/LogFile.txt","","",1
2018-01-29 15:10:51.705 +0530,"Success",0:00:00,0,0,0,"20180129_151051.705/LogFile.txt","","",1
2018-01-29 15:11:00.210 +0530,"Success",0:00:00,0,0,0,"20180129_151100.210/LogFile.txt","","",1
2018-01-29 15:11:11.910 +0530,"Success",0:00:00,0,0,0,"20180129_151111.910/LogFile.txt","","",1
2018-01-29 15:11:42.595 +0530,"Success",0:00:00,0,0,0,"20180129_151142.595/LogFile.txt","","",1
2018-01-29 15:11:48.652 +0530,"Success",0:00:00,0,0,0,"20180129_151148.652/LogFile.txt","","",1
2018-01-29 15:12:04.520 +0530,"Success",0:00:00,0,0,0,"20180129_151204.520/LogFile.txt","","",1
2018-01-29 15:12:17.284 +0530,"Success",0:00:00,0,0,0,"20180129_151217.284/LogFile.txt","","",1
2018-01-29 15:12:40.873 +0530,"Success",0:00:00,0,0,0,"20180129_151240.873/LogFile.txt","","",1
2018-01-29 15:15:01.323 +0530,"Success",0:00:00,0,0,0,"20180129_151501.323/LogFile.txt","","",1
2018-01-29 15:15:11.155 +0530,"Success",0:00:00,0,0,0,"20180129_151511.155/LogFile.txt","","",1
2018-01-29 15:16:26.184 +0530,"Success",0:00:00,0,0,0,"20180129_151626.184/LogFile.txt","","",1
2018-01-29 15:16:40.148 +0530,"Success",0:00:00,0,0,0,"20180129_151640.148/LogFile.txt","","",1
2018-01-29 15:16:58.619 +0530,"Success",0:00:00,0,0,0,"20180129_151658.619/LogFile.txt","","",1
2018-01-29 15:58:29.566 +0530,"Success",0:00:00,0,0,0,"20180129_155829.566/LogFile.txt","","",1
2018-01-29 15:59:16.775 +0530,"Success",0:00:00,0,0,0,"20180129_155916.775/LogFile.txt","","",1
